cid,entry_date,entry_price,exit_date,exit_price,exit_type,gross_return,hold_days,es,recon_date
WIF-USD,2025-09-01,0.758637011051178,2025-09-11,0.9103644132614135,TP,0.19999999999999987,10,E4,2025-08-31
RAY-USD,2025-09-01,3.2737979888916016,2025-09-20,3.044632129669189,SL,-0.07000000000000009,19,E4,2025-08-31
RENDER-USD,2025-09-01,3.3238000869750977,2025-09-08,3.790178060531616,TP,0.14031468841465636,7,E4,2025-08-31
FARTCOIN-USD,2025-09-01,0.7144399881362915,2025-09-08,0.8327940106391907,TP,0.16565985172756195,7,E4,2025-08-31
ORCA-USD,2025-09-01,2.1611790657043457,2025-09-13,2.3756730556488037,TP,0.09924859691094254,12,E4,2025-08-31
MNDE-USD,2025-09-01,0.12738999724388123,2025-09-08,0.15286799669265747,TP,0.19999999999999996,7,E4,2025-08-31
MSOL-USD,2025-09-01,260.14019775390625,2025-09-11,312.16823730468747,TP,0.19999999999999987,10,E4,2025-08-31
JITOSOL-USD,2025-09-01,241.6949462890625,2025-09-11,290.033935546875,TP,0.2,10,E4,2025-08-31
FIDA-USD,2025-09-01,0.08333799988031387,2025-09-11,0.09927400201559067,TP,0.19122131750417976,10,E4,2025-08-31
GALA-USD,2025-09-01,0.015575000084936619,2025-09-12,0.018397999927401543,TP,0.1812519953174955,11,E4,2025-08-31
PONKE-USD,2025-09-01,0.09644400328397751,2025-09-11,0.11522000283002853,TP,0.19468291347016628,10,E4,2025-08-31
MYRO-USD,2025-09-01,0.021998999640345573,2025-09-11,0.026398799568414687,TP,0.19999999999999996,10,E4,2025-08-31
SLERF-USD,2025-09-01,0.07718800008296967,2025-09-10,0.09245999902486801,TP,0.19785457487540056,9,E4,2025-08-31
KMNO-USD,2025-09-01,0.05287899821996689,2025-09-10,0.06345479786396026,TP,0.19999999999999984,9,E4,2025-08-31
PYUSD-USD,2025-09-01,0.9995620250701904,2025-10-31,0.9995549917221069,MAXHOLD,-7.036429863371614e-06,60,E4,2025-08-31
HNT-USD,2025-09-01,2.5086240768432617,2025-09-03,2.3330203914642333,SL,-0.07000000000000002,2,E4,2025-08-31
IOTX-USD,2025-09-01,0.027713000774383545,2025-09-04,0.025773090720176695,SL,-0.07000000000000008,3,E4,2025-08-31
ZETA-USD,2025-09-01,0.17893299460411072,2025-09-24,0.16640768498182296,SL,-0.07000000000000006,23,E4,2025-08-31
STSOL-USD,2025-09-01,239.05140686035156,2025-09-11,286.86168823242184,TP,0.19999999999999984,10,E4,2025-08-31
BSOL-USD,2025-09-01,244.27438354492188,2025-09-11,293.12926025390624,TP,0.19999999999999996,10,E4,2025-08-31
CHILLGUY-USD,2025-09-01,0.03866500034928322,2025-09-07,0.04639800041913986,TP,0.20000000000000004,6,E4,2025-08-31
ZEREBRO-USD,2025-09-01,0.020207000896334648,2025-09-04,0.018792510833591222,SL,-0.07000000000000002,3,E4,2025-08-31
WIF-USD,2025-10-01,0.7641940116882324,2025-10-08,0.7107004308700561,SL,-0.0700000000000001,7,E4,2025-09-30
RAY-USD,2025-10-01,2.8549160957336426,2025-10-08,2.6550719690322873,SL,-0.07000000000000012,7,E4,2025-09-30
RENDER-USD,2025-10-01,3.548769950866699,2025-10-08,3.30035605430603,SL,-0.07000000000000002,7,E4,2025-09-30
FARTCOIN-USD,2025-10-01,0.62956702709198,2025-10-05,0.7436360120773315,TP,0.18118640283981396,4,E4,2025-09-30
ORCA-USD,2025-10-01,2.010561943054199,2025-10-09,1.8698226070404051,SL,-0.07000000000000006,8,E4,2025-09-30
MNDE-USD,2025-10-01,0.14332400262355804,2025-10-04,0.13329132243990896,SL,-0.07000000000000015,3,E4,2025-09-30
MSOL-USD,2025-10-01,294.4431457519531,2025-10-09,273.8321255493164,SL,-0.07000000000000002,8,E4,2025-09-30
JITOSOL-USD,2025-10-01,273.3974914550781,2025-10-09,254.25966705322264,SL,-0.07000000000000005,8,E4,2025-09-30
FIDA-USD,2025-10-01,0.0828310027718544,2025-10-08,0.07703283257782459,SL,-0.07000000000000003,7,E4,2025-09-30
GALA-USD,2025-10-01,0.015430999919772148,2025-10-09,0.014350829925388097,SL,-0.07000000000000006,8,E4,2025-09-30
PONKE-USD,2025-10-01,0.08897899836301804,2025-10-08,0.08275046847760677,SL,-0.07000000000000006,7,E4,2025-09-30
SLERF-USD,2025-10-01,0.08138599991798401,2025-10-09,0.07568897992372513,SL,-0.07,8,E4,2025-09-30
KMNO-USD,2025-10-01,0.0722310021519661,2025-10-04,0.08350999653339386,TP,0.1561517083439878,3,E4,2025-09-30
PYUSD-USD,2025-10-01,0.999783992767334,2025-11-30,0.9995129704475403,MAXHOLD,-0.00027108087522338686,60,E4,2025-09-30
HNT-USD,2025-10-01,2.6356699466705322,2025-10-06,2.451173050403595,SL,-0.07000000000000002,5,E4,2025-09-30
ZETA-USD,2025-10-01,0.16657400131225586,2025-10-06,0.17834100127220154,TP,0.07064127575279606,5,E4,2025-09-30
STSOL-USD,2025-10-01,268.7919006347656,2025-10-09,249.97646759033202,SL,-0.07000000000000003,8,E4,2025-09-30
BSOL-USD,2025-10-01,276.723388671875,2025-10-09,257.3527514648437,SL,-0.0700000000000001,8,E4,2025-09-30
CHILLGUY-USD,2025-10-01,0.039719998836517334,2025-10-09,0.03693959891796112,SL,-0.06999999999999999,8,E4,2025-09-30
WIF-USD,2025-11-01,0.5352349877357483,2025-11-02,0.49776853859424586,SL,-0.0700000000000001,1,E4,2025-10-31
RAY-USD,2025-11-01,1.6753220558166504,2025-11-02,1.5580495119094848,SL,-0.07000000000000002,1,E4,2025-10-31
RENDER-USD,2025-11-01,2.3292179107666016,2025-11-02,2.166172657012939,SL,-0.07000000000000013,1,E4,2025-10-31
FARTCOIN-USD,2025-11-01,0.33878400921821594,2025-11-02,0.3150691285729408,SL,-0.07000000000000013,1,E4,2025-10-31
ORCA-USD,2025-11-01,1.5537300109863281,2025-11-02,1.4449689102172851,SL,-0.07000000000000002,1,E4,2025-10-31
MNDE-USD,2025-11-01,0.10701099783182144,2025-11-02,0.09952022798359393,SL,-0.07000000000000009,1,E4,2025-10-31
MSOL-USD,2025-11-01,248.9127655029297,2025-11-02,231.4888719177246,SL,-0.07000000000000006,1,E4,2025-10-31
JITOSOL-USD,2025-11-01,230.86834716796875,2025-11-02,214.70756286621094,SL,-0.07,1,E4,2025-10-31
FIDA-USD,2025-11-01,0.05789700150489807,2025-11-02,0.053844211399555204,SL,-0.07000000000000003,1,E4,2025-10-31
GALA-USD,2025-11-01,0.010437999852001667,2025-11-02,0.009707339862361549,SL,-0.07000000000000012,1,E4,2025-10-31
PONKE-USD,2025-11-01,0.05839899927377701,2025-11-02,0.05431106932461261,SL,-0.0700000000000001,1,E4,2025-10-31
SLERF-USD,2025-11-01,0.012161999940872192,2025-11-02,0.011310659945011138,SL,-0.0700000000000001,1,E4,2025-10-31
KMNO-USD,2025-11-01,0.06190099939703941,2025-11-02,0.05756792943924665,SL,-0.07000000000000008,1,E4,2025-10-31
PYUSD-USD,2025-11-01,0.9995549917221069,2025-12-31,0.9996100068092346,MAXHOLD,5.503958019648474e-05,60,E4,2025-10-31
HNT-USD,2025-11-01,2.38303804397583,2025-11-02,2.2162253808975216,SL,-0.07000000000000015,1,E4,2025-10-31
IOTX-USD,2025-11-01,0.01155600044876337,2025-11-02,0.010747080417349933,SL,-0.07000000000000012,1,E4,2025-10-31
ZETA-USD,2025-11-01,0.11693800240755081,2025-11-02,0.10875234223902225,SL,-0.07000000000000006,1,E4,2025-10-31
STSOL-USD,2025-11-01,226.07118225097656,2025-11-02,210.2461994934082,SL,-0.07000000000000002,1,E4,2025-10-31
BSOL-USD,2025-11-01,234.05252075195312,2025-11-02,217.6688442993164,SL,-0.07000000000000006,1,E4,2025-10-31
CHILLGUY-USD,2025-11-01,0.02784699946641922,2025-11-02,0.025897709503769874,SL,-0.07,1,E4,2025-10-31
ZEREBRO-USD,2025-11-01,0.04306099936366081,2025-11-02,0.04004672940820455,SL,-0.07000000000000013,1,E4,2025-10-31
WIF-USD,2025-12-01,0.3455809950828552,2025-12-03,0.38261398673057556,TP,0.10716154005761064,2,E4,2025-11-30
RAY-USD,2025-12-01,1.0022250413894653,2025-12-03,1.2026700496673584,TP,0.19999999999999996,2,E4,2025-11-30
RENDER-USD,2025-12-01,1.5659290552139282,2025-12-14,1.4563140213489532,SL,-0.07000000000000006,13,E4,2025-11-30
FARTCOIN-USD,2025-12-01,0.320235013961792,2025-12-03,0.38012200593948364,TP,0.1870095066644927,2,E4,2025-11-30
ORCA-USD,2025-12-01,1.2588579654693604,2025-12-10,1.170737907886505,SL,-0.0700000000000001,9,E4,2025-11-30
MNDE-USD,2025-12-01,0.06491799652576447,2025-12-05,0.07299300283193588,TP,0.12438779288215761,4,E4,2025-11-30
MSOL-USD,2025-12-01,170.04380798339844,2025-12-17,158.14074142456053,SL,-0.07000000000000009,16,E4,2025-11-30
JITOSOL-USD,2025-12-01,158.0266876220703,2025-12-17,146.9648194885254,SL,-0.06999999999999998,16,E4,2025-11-30
FIDA-USD,2025-12-01,0.043845999985933304,2025-12-14,0.04077677998691797,SL,-0.07000000000000006,13,E4,2025-11-30
GALA-USD,2025-12-01,0.006767000071704388,2025-12-16,0.00629331006668508,SL,-0.07000000000000006,15,E4,2025-11-30
PONKE-USD,2025-12-01,0.03217799961566925,2025-12-14,0.029925539642572403,SL,-0.07,13,E4,2025-11-30
KMNO-USD,2025-12-01,0.057927001267671585,2025-12-17,0.05387211117893457,SL,-0.07000000000000009,16,E4,2025-11-30
PYUSD-USD,2025-12-01,0.9995129704475403,2026-01-30,0.9994059801101685,MAXHOLD,-0.00010704247021819072,60,E4,2025-11-30
HNT-USD,2025-12-01,1.8914090394973755,2025-12-14,1.7590104067325592,SL,-0.07000000000000003,13,E4,2025-11-30
ZETA-USD,2025-12-01,0.0831340029835701,2025-12-14,0.07731462277472019,SL,-0.07000000000000002,13,E4,2025-11-30
STSOL-USD,2025-12-01,153.58790588378906,2025-12-17,142.83675247192383,SL,-0.06999999999999998,16,E4,2025-11-30
BSOL-USD,2025-12-01,159.76992797851562,2025-12-17,148.58603302001953,SL,-0.07000000000000002,16,E4,2025-11-30
ZEREBRO-USD,2025-12-01,0.030162999406456947,2025-12-02,0.036195599287748334,TP,0.1999999999999999,1,E4,2025-11-30
WIF-USD,2026-01-01,0.301256000995636,2026-01-03,0.36150720119476315,TP,0.1999999999999999,2,E4,2025-12-31
RAY-USD,2026-01-01,0.9755169749259949,2026-01-04,1.170620369911194,TP,0.20000000000000004,3,E4,2025-12-31
RENDER-USD,2026-01-01,1.378972053527832,2026-01-02,1.6547664642333983,TP,0.19999999999999993,1,E4,2025-12-31
FARTCOIN-USD,2026-01-01,0.29006099700927734,2026-01-02,0.3480731964111328,TP,0.20000000000000004,1,E4,2025-12-31
ORCA-USD,2026-01-01,1.1011569499969482,2026-01-04,1.2319819927215576,TP,0.11880689916634676,3,E4,2025-12-31
MSOL-USD,2026-01-01,170.94253540039062,2026-01-24,158.97655792236327,SL,-0.07000000000000006,23,E4,2025-12-31
JITOSOL-USD,2026-01-01,158.65390014648438,2026-01-28,147.54812713623045,SL,-0.07000000000000013,27,E4,2025-12-31
GALA-USD,2026-01-01,0.0062870001420378685,2026-01-03,0.007433000020682812,TP,0.18228087366854723,2,E4,2025-12-31
KMNO-USD,2026-01-01,0.05659700185060501,2026-01-17,0.052635211721062655,SL,-0.07000000000000009,16,E4,2025-12-31
PYUSD-USD,2026-01-01,0.9996100068092346,2026-03-02,1.0000050067901611,MAXHOLD,0.00039515408833026557,60,E4,2025-12-31
HNT-USD,2026-01-01,1.5208539962768555,2026-01-08,1.4143942165374754,SL,-0.0700000000000001,7,E4,2025-12-31
ZETA-USD,2026-01-01,0.0713450014591217,2026-01-14,0.08106199651956558,TP,0.13619727888030658,13,E4,2025-12-31
STSOL-USD,2026-01-01,153.94369506835938,2026-01-28,143.1676364135742,SL,-0.07000000000000012,27,E4,2025-12-31
BSOL-USD,2026-01-01,160.56765747070312,2026-01-28,149.3279214477539,SL,-0.06999999999999998,27,E4,2025-12-31
ZEREBRO-USD,2026-01-01,0.02569499984383583,2026-01-05,0.029597999528050423,TP,0.15189724490895112,4,E4,2025-12-31
WIF-USD,2026-02-01,0.2540769875049591,2026-02-04,0.23629159837961194,SL,-0.07000000000000009,3,E4,2026-01-31
RAY-USD,2026-02-01,0.703794002532959,2026-02-02,0.6545284223556518,SL,-0.0700000000000001,1,E4,2026-01-31
RENDER-USD,2026-02-01,1.4981659650802612,2026-02-04,1.3932943475246429,SL,-0.07000000000000005,3,E4,2026-01-31
FARTCOIN-USD,2026-02-01,0.2163349986076355,2026-02-04,0.201191548705101,SL,-0.07000000000000005,3,E4,2026-01-31
ORCA-USD,2026-02-01,0.8877350091934204,2026-02-04,0.8255935585498809,SL,-0.07000000000000006,3,E4,2026-01-31
MSOL-USD,2026-02-01,142.88392639160156,2026-02-02,132.88205154418944,SL,-0.07000000000000012,1,E4,2026-01-31
JITOSOL-USD,2026-02-01,126.78634643554688,2026-02-03,117.91130218505859,SL,-0.07000000000000005,2,E4,2026-01-31
GALA-USD,2026-02-01,0.004699999932199717,2026-02-04,0.004370999936945736,SL,-0.07000000000000013,3,E4,2026-01-31
PONKE-USD,2026-02-01,0.03579200059175491,2026-02-02,0.033286560550332064,SL,-0.07000000000000015,1,E4,2026-01-31
KMNO-USD,2026-02-01,0.03411800041794777,2026-02-04,0.031729740388691426,SL,-0.06999999999999999,3,E4,2026-01-31
PYUSD-USD,2026-02-01,0.9994059801101685,2026-03-15,0.9996583461761475,MAXHOLD,0.00025251606554443933,42,E4,2026-01-31
