cid,entry_date,exit_date,gross_return,hold_days,exit_type,recon_date
JITOSOL-USD,2025-12-01,2025-12-21,-0.0057376875850256226,20,FIXED_20d,2025-11-30
FIDA-USD,2025-12-01,2025-12-21,-0.0897231147355597,20,FIXED_20d,2025-11-30
GALA-USD,2025-12-01,2025-12-21,-0.0840845134971582,20,FIXED_20d,2025-11-30
PONKE-USD,2025-12-01,2025-12-21,-0.13145627848843375,20,FIXED_20d,2025-11-30
KMNO-USD,2025-12-01,2025-12-21,-0.14937766167378183,20,FIXED_20d,2025-11-30
PYUSD-USD,2025-12-01,2025-12-21,-0.00012904730114326725,20,FIXED_20d,2025-11-30
HNT-USD,2025-12-01,2025-12-21,-0.14734730975844446,20,FIXED_20d,2025-11-30
ZETA-USD,2025-12-01,2025-12-21,-0.14023149370898536,20,FIXED_20d,2025-11-30
STSOL-USD,2025-12-01,2025-12-21,-0.008161710597258745,20,FIXED_20d,2025-11-30
BSOL-USD,2025-12-01,2025-12-21,-0.003170758122536813,20,FIXED_20d,2025-11-30
ZEREBRO-USD,2025-12-01,2025-12-21,-0.018433166063929925,20,FIXED_20d,2025-11-30
WIF-USD,2026-01-01,2026-01-21,0.10625847185242797,20,FIXED_20d,2025-12-31
RAY-USD,2026-01-01,2026-01-21,0.04707145265814676,20,FIXED_20d,2025-12-31
RENDER-USD,2026-01-01,2026-01-21,0.4689361440208803,20,FIXED_20d,2025-12-31
FARTCOIN-USD,2026-01-01,2026-01-21,0.019864824544387493,20,FIXED_20d,2025-12-31
ORCA-USD,2026-01-01,2026-01-21,-0.042012091576926015,20,FIXED_20d,2025-12-31
MSOL-USD,2026-01-01,2026-01-21,0.015663993844445497,20,FIXED_20d,2025-12-31
JITOSOL-USD,2026-01-01,2026-01-21,0.015577912548946665,20,FIXED_20d,2025-12-31
GALA-USD,2026-01-01,2026-01-21,0.008748165907846914,20,FIXED_20d,2025-12-31
KMNO-USD,2026-01-01,2026-01-21,-0.1317030968017281,20,FIXED_20d,2025-12-31
PYUSD-USD,2026-01-01,2026-01-21,-0.00019009374280924801,20,FIXED_20d,2025-12-31
HNT-USD,2026-01-01,2026-01-21,-0.2020351708219129,20,FIXED_20d,2025-12-31
ZETA-USD,2026-01-01,2026-01-21,-0.02073025191514745,20,FIXED_20d,2025-12-31
STSOL-USD,2026-01-01,2026-01-21,0.02059034653489881,20,FIXED_20d,2025-12-31
BSOL-USD,2026-01-01,2026-01-21,0.016030752558072528,20,FIXED_20d,2025-12-31
ZEREBRO-USD,2026-01-01,2026-01-21,-0.5174936777350583,20,FIXED_20d,2025-12-31
WIF-USD,2026-02-01,2026-02-21,-0.1693068919039544,20,FIXED_20d,2026-01-31
RAY-USD,2026-02-01,2026-02-21,-0.12158384051632731,20,FIXED_20d,2026-01-31
RENDER-USD,2026-02-01,2026-02-21,-0.05672134223383805,20,FIXED_20d,2026-01-31
FARTCOIN-USD,2026-02-01,2026-02-21,-0.19234059576817628,20,FIXED_20d,2026-01-31
ORCA-USD,2026-02-01,2026-02-21,0.14297514080093612,20,FIXED_20d,2026-01-31
MSOL-USD,2026-02-01,2026-02-21,-0.21158157039252604,20,FIXED_20d,2026-01-31
JITOSOL-USD,2026-02-01,2026-02-21,-0.174645417597878,20,FIXED_20d,2026-01-31
GALA-USD,2026-02-01,2026-02-21,-0.22659573951620565,20,FIXED_20d,2026-01-31
PONKE-USD,2026-02-01,2026-02-21,-0.10820858627775103,20,FIXED_20d,2026-01-31
KMNO-USD,2026-02-01,2026-02-21,-0.2157512255580374,20,FIXED_20d,2026-01-31
