run_id,fire_id,fire_time_utc,fire_epoch,signal_symbol,signal_mint,control_symbol,control_mint,signal_net_5m,control_net_5m,delta_5m,signal_entry_quote_ok,control_entry_quote_ok,signal_fwd_quote_ok_5m,control_fwd_quote_ok_5m,signal_entry_ts_epoch,control_entry_ts_epoch,signal_fwd_due_epoch_5m,control_fwd_due_epoch_5m,signal_fwd_ts_epoch_5m,control_fwd_ts_epoch_5m,signal_entry_jitter_sec,control_entry_jitter_sec,signal_fwd_jitter_5m_sec,control_fwd_jitter_5m_sec,signal_row_valid,control_row_valid,invalid_reason_signal,invalid_reason_control,outlier_flag
1677a7da,8254e0bb,2026-03-07T13:15:00+00:00,1772889300,AICOIN,217dt9idH1Q9UXT8rjpknnyFggizXUVD2r5EZNjopump,比比拉布,4YuD8JVXFeyeowJacXMLY3QKhd6NwaJhto1Xqrnwpump,-0.0548782,-0.0427039,-0.0121743,1,1,1,1,1772889309,1772889309,1772889600,1772889600,1772889601,1772889601,9,9,1,1,1,1,,,0
1677a7da,e7d8756b,2026-03-07T13:30:00+00:00,1772890200,MINDVOID,9VYUuSVZGw82Nz8rcSix4x4zurBmvkfiKtyvYCY4pump,SHAPE,4HhWcsfjaWYKJtjaxd4EyGSAL4Ky8C3DvqAWPHnrpump,0.073594,-0.0188575,0.0924514999999999,1,1,1,1,1772890205,1772890206,1772890500,1772890500,1772890507,1772890508,5,6,7,8,1,1,,,0
1677a7da,4294d61b,2026-03-07T13:45:00+00:00,1772891100,CORVUS,CoPRYLGHc7Qadere13xSPhRvgwwStCZn9dHpBZQ7pump,PIZZA,G9ivB7K41a4G8m1k4QdxxN4L5eGKL7Mr12S26B85pump,-0.1397402,-0.0369895,-0.1027507,1,1,1,1,1772891111,1772891111,1772891400,1772891400,1772891403,1772891403,11,11,3,3,1,1,,,1
1677a7da,f1c48efb,2026-03-07T14:00:00+00:00,1772892000,比比拉布,4YuD8JVXFeyeowJacXMLY3QKhd6NwaJhto1Xqrnwpump,CORVUS,CoPRYLGHc7Qadere13xSPhRvgwwStCZn9dHpBZQ7pump,-0.0525323,0.0109383000000001,-0.0634706,1,1,1,1,1772892008,1772892008,1772892300,1772892300,1772892300,1772892300,8,8,0,0,1,1,,,0
1677a7da,90ecb166,2026-03-07T14:15:00+00:00,1772892900,AICOIN,217dt9idH1Q9UXT8rjpknnyFggizXUVD2r5EZNjopump,DELULU,6RxB1KdzVMXrrYn7nQWvaGgh5e2EpbA1FcEFtq74pump,-0.1529375,-0.0293041,-0.1236334,1,1,1,1,1772892904,1772892904,1772893200,1772893200,1772893206,1772893206,4,4,6,6,1,1,,,1
1677a7da,a4c681f6,2026-03-07T14:30:00+00:00,1772893800,CORVUS,CoPRYLGHc7Qadere13xSPhRvgwwStCZn9dHpBZQ7pump,𝕏Money,EnTu4xYmd49b6drs6FwTodxcJW1sHFurbvueyk9Kpump,-0.0290098,-0.0330629999999999,0.0040531999999999,1,1,1,1,1772893809,1772893810,1772894100,1772894100,1772894102,1772894103,9,10,2,3,1,1,,,0
1677a7da,1cf68f80,2026-03-07T14:45:00+00:00,1772894700,LOLA,7BeoEbgJepbf4mAyw4PZ48TcgrDK25kR7zexV42Apump,CORVUS,CoPRYLGHc7Qadere13xSPhRvgwwStCZn9dHpBZQ7pump,-0.1171565,-0.0853446,-0.0318119,1,1,1,1,1772894706,1772894706,1772895000,1772895000,1772895007,1772895009,6,6,7,9,1,1,,,0
1677a7da,971190bf,2026-03-07T15:00:00+00:00,1772895600,LOLA,7BeoEbgJepbf4mAyw4PZ48TcgrDK25kR7zexV42Apump,CORVUS,CoPRYLGHc7Qadere13xSPhRvgwwStCZn9dHpBZQ7pump,-0.0263041,-0.0060774999999999,-0.0202266000000001,1,1,1,1,1772895613,1772895613,1772895900,1772895900,1772895904,1772895905,13,13,4,5,1,1,,,0
1677a7da,397cf4e3,2026-03-07T15:15:00+00:00,1772896500,MINDVOID,9VYUuSVZGw82Nz8rcSix4x4zurBmvkfiKtyvYCY4pump,𝕏Money,EnTu4xYmd49b6drs6FwTodxcJW1sHFurbvueyk9Kpump,-0.0523979,-0.0499678,-0.0024300999999999,1,1,1,1,1772896508,1772896509,1772896800,1772896800,1772896800,1772896801,8,9,0,1,1,1,,,0
1677a7da,f4e32683,2026-03-07T15:30:00+00:00,1772897400,SOL人生,GWcAPiF2cBf5de8E1eSERcnVdH411NqT2peG7zDJpump,比比拉布,4YuD8JVXFeyeowJacXMLY3QKhd6NwaJhto1Xqrnwpump,-0.0543518000000001,-0.0490787,-0.0052731,1,1,1,1,1772897405,1772897405,1772897700,1772897700,1772897707,1772897709,5,5,7,9,1,1,,,0
